award_date,grant_number
2016-01-06,4R01NR013507-05
2016-01-06,1F31HD088128-01
2016-01-06,5R01GM059957-16
2016-01-06,3U90TP000533-04S1
2016-01-06,3U90TP000528-04S1
2016-01-06,3R01HL097163-06A1S2
2016-01-06,5P01CA116087-08
2016-01-06,5R01AI029329-26
2016-01-06,5R01DK066483-12
2016-01-06,4R25AI097453-05
2016-01-06,5R21DE024632-02
2016-01-06,3R01HL125128-01A1S1
2016-01-06,6K12GM102779-05
2016-01-06,5P01CA116087-08
2016-01-06,5R01GM106151-03
2016-01-06,5K01HS019815-05
2016-01-06,5R01DK098203-03
2016-01-06,1F32GM117766-01
2016-01-06,1F32GM117758-01
2016-01-06,3U90TP000517-04S1
2016-01-06,1I21RX001893-01A1
2016-01-06,4R01EB016100-04
2016-01-06,4R01DE016289-10
2016-01-06,6R25GM104547-04
2016-01-06,4R01HL117626-04
2016-01-06,1K24AI116925-01A1
2016-01-06,1R21AI123746-01
2016-01-06,5R01AA023667-02
2016-01-06,1F32GM117963-01
2016-01-06,5R13HS023958-02
2016-01-06,1R03AI122908-01
2016-01-06,1R21AI122258-01
2016-01-06,2R01DK080099-06A1
2016-01-06,7R00HD076165-04
2016-01-06,5R01HL077671-11
2016-01-06,5R21MH108503-02
2016-01-06,5R01GM108954-03
2016-01-06,4R01AI095282-05
2016-01-06,3U90TP000553-04S1
2016-01-06,4R01AG042611-04
2016-01-06,3U90TP000563-04S1
2016-01-06,5R01DE015846-12
2016-01-06,5K22CA184308-02
2016-01-06,1R01NS092645-01A1
2016-01-06,5R01DK100425-03
2016-01-06,5R01GM107148-03
2016-01-06,1R21AI121721-01
2016-01-06,1F32GM115074-01A1
2016-01-06,5R01NS084026-03
2016-01-07,5F32GM113311-02
2016-01-07,5R01HL126738-02
2016-01-07,7R01DK100342-03
2016-01-07,5R03HD082536-02
2016-01-07,1R03CA201684-01
2016-01-07,2R01AI093380-04A1
2016-01-07,5R01OD010936-24
2016-01-07,1K23AI121491-01
2016-01-07,5R03DK105314-02
2016-01-07,4R01AI029735-25
2016-01-07,5R01HD053112-08
2016-01-07,4R01HD052937-10
2016-01-07,4R01AI099278-05
2016-01-07,5R21AI114923-02
2016-01-07,5R21AI113014-02
2016-01-07,4R01NS078165-06
2016-01-07,1I01HX000424-01
2016-01-07,1R01AI123024-01
2016-01-07,3U2GGH000095-05S1
2016-01-07,5K24AI114769-02
2016-01-07,5K08AI110655-03
2016-01-07,5R00MH095768-05
2016-01-07,4R01AG039659-05
2016-01-07,4R01GM097508-05
2016-01-07,1R21AI121831-01
2016-01-07,1R03DC014309-01A1
2016-01-07,5R01HS021261-05
2016-01-07,5R01AI112381-03
2016-01-07,4R01NS055860-09
2016-01-07,1R21AI124172-01
2016-01-07,5R01NS082759-03
2016-01-07,6R01GM093282-06
2016-01-07,1R13AI122572-01
2016-01-07,1R13AI122627-01
2016-01-07,4K23AI104779-04
2016-01-07,3U2GGH000097-05S1
2016-01-07,6R01GM108579-03
2016-01-07,5IK2HX000845-03
2016-01-07,5R01GM106056-03
2016-01-07,5IK2HX000776-02
2016-01-07,5R01GM113657-02
2016-01-07,1K08HL121191-01A1
2016-01-07,1K99HL127178-01A1
2016-01-07,5R01CA109298-12
2016-01-07,5R01CA176911-03
2016-01-07,6R01EB013571-05
2016-01-07,4R01NS078504-05
2016-01-07,4R01HL084261-09
2016-01-07,5IK2HX000759-03
2016-01-07,5R01MH101382-03
2016-01-07,6R01GM109909-03
2016-01-07,5T37MD001368-19
2016-01-07,7R01CA193813-02
2016-01-07,5F32GM110951-02
2016-01-07,5K08DK101735-03
2016-01-07,4R01HD067184-04
2016-01-07,4R01NS034958-21
2016-01-07,4R01AI101285-04
2016-01-07,5I01HX000137-03
2016-01-07,5R21CA179362-02
2016-01-07,4R01HD037078-19
2016-01-07,2R01HL108643-05A1
2016-01-07,5K08AI116979-02
2016-01-07,5K23AG049085-02
2016-01-07,3R01CA172652-03S1
2016-01-07,5R01GM065050-15
2016-01-07,5F32GM113395-02
2016-01-07,2R01DC004729-16
2016-01-07,5K24DA037804-02
2016-01-07,4F31AG044948-03
2016-01-07,4R01NS073967-05
2016-01-07,4F30CA180601-03
2016-01-07,5R01AI110173-03
2016-01-07,6R01GM112524-03
2016-01-07,5R01GM065494-12
2016-01-07,6T32GM007288-42
2016-01-07,4K23AI106406-04
2016-01-07,4R01CA171651-04
2016-01-07,6R01GM106158-03
2016-01-07,3R01HL098228-06S1
2016-01-07,1R01AI123392-01
2016-01-07,5P41GM103832-31
2016-01-07,1I01HX000453-01
2016-01-07,5R01NS086074-03
2016-01-07,5R01GM111926-02
2016-01-07,3U2GGH000233-05S1
2016-01-07,4R01AI098450-05
2016-01-07,6T32GM007491-40
2016-01-07,4R01GM098304-05
2016-01-07,5R01GM059290-14
2016-01-07,5R21AI107252-02
2016-01-07,5US4CE002273-04
2016-01-07,5IK2HX000846-02
2016-01-07,4R01DE022032-05
2016-01-07,5R01NS088528-02
2016-01-07,1R01AI118886-01A1
2016-01-07,5I01HX000125-03
2016-01-07,4R01EB016231-04
2016-01-07,5K01HL121045-03
2016-01-07,5R01AI076406-07
2016-01-07,3R01NS082565-03S1
2016-01-07,1F31AI122725-01
2016-01-07,5R01NS073613-06
2016-01-07,4R01HD010808-38
2016-01-07,5R01HD082070-02
